timestamp,strategy,market_id,token_id,side,price,size,usd_value,order_type,mode,order_id,status,reason
1774300505.175,copy_trading,0x9e5f2ffbcb7eef803288f65cdb2779889e8535d4bb67aee02d5a9fd796d9fae8,103325552653149933388345123480612218674588057252537745791847407554177123887300,BUY,0.110000,27.272727,3.0000,GTC,micro,0xa5ce18a1f54b05a1b81baef9db780fdb8679e85618b5023866424dc8fcda60a7,live,Mirror Discovered:0xbddf61af… | target_price=0.110 | current_ask=0.110 | drift=0.0000
1774300506.199,copy_trading,0xe029dabe8ea69c2d15d7df9b1ad041b0d138596a9ea00d204eb3ea96e5e4b099,45375595167258100754341076547600857237674284422251779310852428729022021049874,BUY,0.500000,6.000000,3.0000,GTC,micro,0x71dc24654355e2aa95d6d9f2c8dc1f5c8cf72bf2c51af774404bbd818461e3fb,live,Mirror Discovered:0xbddf61af… | target_price=0.500 | current_ask=0.500 | drift=0.0000
1774300626.525,copy_trading,0x1f380fbba6e68baa36a0f2fa2f0f09a9a4d6d3d3f23659560284d556dea130da,526358544338919753413971612082549721450292059535508650256648954503580763652,BUY,0.510000,5.882353,3.0000,GTC,micro,0x281aaab319a043218b58a4b77b4137a82f2e0a4030f2c0dac488455dd0225493,live,Mirror Discovered:0x37c1874a… | target_price=0.510 | current_ask=0.510 | drift=0.0000
1774300773.804,copy_trading,0xbdd688664b4f3cf7ec4ec011607934fe8ae720c08353fc14a6e9dfbf6bbcf11a,76626937605855383085159195963889428951048025160807952406004049979161449392204,BUY,0.858000,5.000000,4.2900,GTC,micro,0x9f628047f86556ae47f2ecdf3cade71e83f043b33502e9f4a0e36fa52dacea64,live,Mirror Discovered:0xf195721a… | target_price=0.858 | current_ask=0.858 | drift=0.0000
1774300882.357,copy_trading,0x1745319c9ef1e4c73b9c942fbb615990d05dfd9972b987419add5983dab62dc2,16449252860020742419157684558762238159994582638842050309886335182535976167658,BUY,0.390000,7.692308,3.0000,GTC,micro,0xf49e3743ee207ef36eb9e60ea741bacadd45a36ad3728e4ea30400fb65ff4f05,live,Mirror Discovered:0xbddf61af… | target_price=0.390 | current_ask=0.390 | drift=0.0000
1774300883.354,copy_trading,0x3ed6b6e0b1866ea918d3adcbd1e2f5e2f3ed96e3c3fb68d129ec2ce2dc425969,6543722851451134329703465144370100375167485214680706933163458100899570901801,BUY,0.022000,136.363636,3.0000,GTC,micro,0x4033b5c490af3faef72461623719dc1e4f92f9d7382596be40ae0c8f2c588e9e,live,Mirror Discovered:0xbddf61af… | target_price=0.022 | current_ask=0.022 | drift=0.0000
1774301535.702,copy_trading,0x9b3c3177fe473124c756b01e123b4b03e3a99880844ed8dea21b0a7879ca04aa,103693433518125527001416636574099415821922498558487623412396163292963814003978,BUY,0.997900,5.000000,4.9895,GTC,micro,0xadabee76af449c42e49d62512ad8ccec2257aa160eea074316cd4190ba9662df,live,Mirror Discovered:0xed107a85… | target_price=0.998 | current_ask=0.998 | drift=0.0000
1774301536.652,copy_trading,0x0f1436851188b2ace8c83413e5e9f7bbd6a9b3a92173fe8a2350f6ce09b36107,49955542395922198289025278534567815203057826965672758401588578719957534632833,BUY,0.987800,5.000000,4.9390,GTC,micro,0xe03bb87a9943434fdfb92e8b17eb536883a3c922e34c3c59a9fc94b565d2b1d8,live,Mirror Discovered:0xed107a85… | target_price=0.988 | current_ask=0.988 | drift=0.0000
1774301537.622,copy_trading,0x5e06713092df204ee0f18759830d3f0d01cd9f1fb983c35d2452f34dd2cac645,68241782769397873658984080128670874523442882798622653123058732018207687056564,BUY,0.460000,6.521739,3.0000,GTC,micro,0x4a01d060866037163ff19bdafa2293ee0a8a4b23bc2f4b405087cecb7bbdc6cd,live,Mirror Discovered:0x37c1874a… | target_price=0.460 | current_ask=0.460 | drift=0.0000
1774301540.488,copy_trading,0x8b445eb20e0269e3477b3d23c72bbd32f9a439709a9fa319f910638af6b63c4d,72426153320162702137096759812808766750896510245014539442906139922953084573694,BUY,0.997000,5.000000,4.9850,GTC,micro,0x4c020be5eb8b81d1c4162f0e1be1ade5293e89ed566f0c103241244982a509a5,live,Mirror Discovered:0xed107a85… | target_price=0.997 | current_ask=0.997 | drift=0.0000
